"promotion_id","product_sku","start_date","end_date","discount_percentage","campaign_name"
1,23,2022-02-16,2022-02-23,31.8,"promo 1"
2,11,2023-03-18,2023-04-01,25.4,"promo 2"
3,31,2023-05-27,2023-06-06,9.5,"promo 3"
4,10,2023-01-10,2023-01-18,26.4,"promo 4"
5,32,2024-11-29,2024-12-06,46,"promo 5"
6,42,2023-05-26,2023-06-05,8.7,"promo 6"
7,43,2021-06-20,2021-06-28,38.3,"promo 7"
8,10,2024-04-28,2024-05-08,24.5,"promo 8"
9,36,2023-11-20,2023-11-29,38,"promo 9"
10,15,2023-09-26,2023-10-03,15.6,"promo 10"
11,37,2024-06-03,2024-06-14,40.5,"promo 11"
12,27,2024-03-19,2024-03-29,21.2,"promo 12"
13,31,2022-02-01,2022-02-10,29.5,"promo 13"
14,37,2021-04-26,2021-05-10,39.3,"promo 14"
15,48,2023-09-04,2023-09-13,38.5,"promo 15"
16,26,2024-05-01,2024-05-13,43.9,"promo 16"
17,19,2023-02-03,2023-02-17,29.2,"promo 17"
18,46,2022-09-14,2022-09-22,49.8,"promo 18"
19,4,2024-06-27,2024-07-04,43.9,"promo 19"
20,19,2024-04-25,2024-05-07,16.8,"promo 20"
21,49,2024-07-20,2024-08-02,38,"promo 21"
22,5,2024-11-16,2024-11-27,37.9,"promo 22"
23,3,2021-04-10,2021-04-18,38.6,"promo 23"
24,43,2023-12-11,2023-12-24,25,"promo 24"
25,38,2021-03-28,2021-04-10,39.3,"promo 25"
26,39,2024-01-19,2024-02-01,27.5,"promo 26"
27,27,2023-10-31,2023-11-10,21.6,"promo 27"
28,24,2022-06-04,2022-06-14,21.8,"promo 28"
29,50,2023-01-31,2023-02-11,38.2,"promo 29"
30,28,2022-01-06,2022-01-15,20.1,"promo 30"
