"order_id","order_date","retailer_id","product_sku","product_price","product_cost","order_quantity","customer_id","random_discount"
1001,2021-01-13,3,34,850.51,724.11,4,143,0.104968752013519
1002,2021-02-02,15,40,334.27,54.57,1,14,0
1003,2022-03-08,14,23,445.28,696.78,10,25,0.239234896190464
1004,2024-02-27,14,13,281.27,202.15,10,39,0.166817570314743
1005,2024-10-24,18,9,230.02,635.17,8,191,0
1006,2022-04-11,1,9,516.33,783.94,6,124,0
1007,2024-10-29,9,31,401.14,548.24,4,95,0.0928211102960631
1008,2022-06-28,20,5,432.12,308.45,7,63,0.153305125096813
1009,2024-10-18,10,31,109.38,174.27,3,70,0.127617599233054
1010,2024-11-21,10,27,684.28,71.31,3,149,0
1011,2023-04-17,28,37,529.42,635.18,7,24,0.0591223387978971
1012,2024-06-17,11,48,887.13,519.14,9,76,0.10865799493622
1013,2021-10-14,9,48,698.94,711.89,5,82,0
1014,2023-07-24,12,5,201.33,657.19,2,34,0
1015,2021-10-17,24,17,164.57,619.1,2,20,0
1016,2022-09-20,28,7,69.8,616.25,5,63,0
1017,2024-10-29,20,13,208.45,705.45,2,167,0
1018,2023-12-11,3,24,895.31,256.23,9,156,0
1019,2021-09-30,29,10,151.16,499.39,2,51,0.0261879729107022
1020,2022-07-23,3,32,984.81,582.52,5,135,0
1021,2022-04-23,30,48,494.19,678.18,2,200,0.176048476877622
1022,2023-10-21,3,22,382.34,727.31,5,66,0.0735042696353048
1023,2022-08-11,23,27,923.26,736.62,10,191,0.0289137187181041
1024,2023-06-24,10,37,829.79,93.16,3,138,0
1025,2024-08-25,3,48,278.2,141.5,3,56,0
1026,2021-07-30,2,37,481.33,426.07,6,181,0
1027,2023-01-09,12,11,279.52,749.15,2,31,0
1028,2024-05-16,24,4,138.92,294.34,9,93,0
1029,2022-09-17,21,25,500.1,624.48,2,38,0
1030,2021-12-25,17,41,491.58,122.53,5,87,0.00439361657481641
1031,2022-07-23,23,41,181.37,610.17,4,162,0
1032,2022-12-29,8,20,844.78,63.15,10,62,0
1033,2023-01-01,30,40,848.04,428.16,5,165,0
1034,2023-09-26,12,27,801.75,106.71,2,67,0.248427169164643
1035,2023-07-10,4,17,393.73,144.13,9,37,0.173646087013185
1036,2023-11-10,30,33,669.47,316.77,10,38,0
1037,2024-08-11,29,9,873.56,93.45,3,27,0.0314145964337513
1038,2023-07-07,21,27,576.67,139.82,6,59,0.261092946119606
1039,2021-11-16,14,20,743.96,498.96,1,25,0
1040,2021-01-10,13,14,688.29,62.46,5,97,0
1041,2024-02-10,5,49,790.95,359.67,1,53,0.061161653813906
1042,2023-11-23,21,43,561.3,550.49,7,127,0
1043,2022-01-16,14,29,88.16,686.69,7,91,0
1044,2023-08-25,18,18,339.66,302.28,7,15,0
1045,2023-11-28,3,6,65.48,399.86,2,102,0
1046,2024-01-02,12,14,794.3,516.51,9,134,0
1047,2023-01-29,12,35,533.04,290.68,8,184,0
