"order_id","product_sku","return_quantity","returndate"
1150,10,1,2023-05-02 08:20:00
1307,20,3,2023-03-06 04:44:00
1085,39,9,2024-11-27 22:17:00
1261,14,2,2022-08-27 16:39:00
1343,40,2,2021-05-26 18:32:00
1087,10,1,2023-06-27 19:09:00
1229,20,6,2023-11-20 07:56:00
1124,27,3,2021-06-18 21:18:00
1337,25,5,2021-11-21 02:38:00
1101,22,4,2023-07-19 04:01:00
1047,35,8,2023-12-02 23:20:00
1198,48,1,2024-11-28 05:22:00
1138,46,1,2024-02-19 14:45:00
1460,15,2,2024-12-23 20:17:00
1018,24,3,2021-12-19 23:37:00
1426,35,3,2024-09-10 18:47:00
1402,37,3,2023-06-18 11:50:00
1105,7,5,2022-12-11 23:24:00
1452,3,3,2022-04-18 18:51:00
1332,18,1,2024-02-12 20:06:00
1202,40,2,2024-04-26 08:03:00
1283,35,4,2024-02-07 19:28:00
1427,39,5,2022-10-02 12:16:00
1261,14,4,2021-11-16 20:51:00
1341,34,6,2021-09-12 18:49:00
1134,41,2,2021-05-17 19:31:00
1163,20,2,2021-08-13 09:41:00
1377,2,1,2022-04-09 08:16:00
1318,21,3,2024-02-18 06:31:00
1261,14,5,2023-10-23 20:20:00
1403,16,2,2024-04-22 08:06:00
1127,34,3,2021-05-26 07:20:00
1367,15,2,2024-09-08 17:48:00
1146,44,2,2021-11-23 03:18:00
1369,27,3,2022-05-09 23:48:00
1230,43,5,2023-09-14 00:39:00
1188,7,1,2021-11-25 05:40:00
1248,13,2,2021-09-23 12:47:00
1371,30,1,2021-10-21 22:21:00
1261,14,3,2024-06-04 05:19:00
1092,44,1,2021-06-26 12:53:00
1120,26,9,2022-04-26 05:55:00
1093,41,3,2022-01-11 00:42:00
1039,20,1,2023-11-02 06:57:00
1359,9,2,2022-11-01 09:30:00
1107,7,2,2024-12-21 02:47:00
1159,1,1,2022-02-10 18:31:00
1498,26,1,2024-09-25 23:31:00
1383,33,2,2022-07-08 07:43:00
1333,27,4,2023-01-30 02:24:00
