"order_id","order_date","ship_date","delivery_duration","delivery_date","shipping_method","carrier","shipping_cost","delivery_status","warehouse_id"
1001,2021-01-13,2021-01-14,7,2021-01-21,"express","dhl",28.48,"delayed",2
1002,2021-02-02,2021-02-04,6,2021-02-10,"express","usps",21.19,"on-time",5
1003,2022-03-08,2022-03-13,2,2022-03-15,"same-day","fedex",30.61,"on-time",5
1004,2024-02-27,2024-02-29,4,2024-03-04,"standard","ups",36.3,"on-time",2
1005,2024-10-24,2024-10-26,6,2024-11-01,"express","fedex",17.58,"on-time",3
1006,2022-04-11,2022-04-15,5,2022-04-20,"same-day","ups",11.52,"delayed",1
1007,2024-10-29,2024-11-03,9,2024-11-12,"express","fedex",40.52,"returned",2
1008,2022-06-28,2022-06-29,9,2022-07-08,"same-day","dhl",48.65,"on-time",4
1009,2024-10-18,2024-10-22,6,2024-10-28,"standard","usps",27.18,"delayed",2
1010,2024-11-21,2024-11-23,7,2024-11-30,"standard","dhl",36.17,"on-time",4
1011,2023-04-17,2023-04-18,10,2023-04-28,"same-day","usps",32.63,"on-time",1
1012,2024-06-17,2024-06-20,9,2024-06-29,"express","dhl",22.39,"on-time",2
1013,2021-10-14,2021-10-17,4,2021-10-21,"same-day","ups",7.56,"delayed",3
1014,2023-07-24,2023-07-28,5,2023-08-02,"standard","fedex",44.2,"on-time",5
1015,2021-10-17,2021-10-18,5,2021-10-23,"express","ups",22.46,"on-time",3
1016,2022-09-20,2022-09-23,9,2022-10-02,"same-day","ups",30.5,"on-time",1
1017,2024-10-29,2024-11-03,10,2024-11-13,"same-day","dhl",19.86,"on-time",4
1018,2023-12-11,2023-12-13,10,2023-12-23,"express","dhl",17.53,"on-time",4
1019,2021-09-30,2021-10-04,3,2021-10-07,"express","ups",9.69,"on-time",5
1020,2022-07-23,2022-07-26,8,2022-08-03,"standard","fedex",8.62,"delayed",1
1021,2022-04-23,2022-04-26,5,2022-05-01,"standard","fedex",13.46,"on-time",5
1022,2023-10-21,2023-10-25,4,2023-10-29,"same-day","ups",26.77,"on-time",1
1023,2022-08-11,2022-08-12,4,2022-08-16,"express","dhl",24.64,"on-time",2
1024,2023-06-24,2023-06-25,7,2023-07-02,"standard","usps",37.97,"on-time",1
1025,2024-08-25,2024-08-27,2,2024-08-29,"same-day","usps",22.69,"on-time",4
1026,2021-07-30,2021-08-02,7,2021-08-09,"express","fedex",33.26,"on-time",3
1027,2023-01-09,2023-01-13,9,2023-01-22,"standard","dhl",28.33,"on-time",2
1028,2024-05-16,2024-05-19,8,2024-05-27,"express","fedex",8.66,"delayed",3
1029,2022-09-17,2022-09-21,10,2022-10-01,"standard","usps",44.77,"on-time",1
1030,2021-12-25,2021-12-30,2,2022-01-01,"same-day","ups",34.81,"on-time",1
1031,2022-07-23,2022-07-24,6,2022-07-30,"standard","fedex",26.53,"delayed",1
1032,2022-12-29,2023-01-01,10,2023-01-11,"express","ups",18.03,"delayed",1
1033,2023-01-01,2023-01-02,6,2023-01-08,"standard","usps",30.49,"on-time",4
1034,2023-09-26,2023-09-30,5,2023-10-05,"same-day","fedex",27.67,"on-time",3
1035,2023-07-10,2023-07-15,4,2023-07-19,"express","usps",19.84,"delayed",1
1036,2023-11-10,2023-11-12,2,2023-11-14,"standard","fedex",45.22,"on-time",2
1037,2024-08-11,2024-08-12,10,2024-08-22,"standard","fedex",28.51,"on-time",4
1038,2023-07-07,2023-07-09,10,2023-07-19,"standard","usps",33.4,"on-time",4
1039,2021-11-16,2021-11-17,3,2021-11-20,"express","usps",32.92,"returned",5
1040,2021-01-10,2021-01-12,5,2021-01-17,"express","fedex",36.56,"on-time",1
1041,2024-02-10,2024-02-13,9,2024-02-22,"express","usps",19.99,"on-time",3
1042,2023-11-23,2023-11-25,4,2023-11-29,"same-day","usps",14.14,"on-time",3
1043,2022-01-16,2022-01-20,5,2022-01-25,"standard","ups",16.38,"on-time",2
1044,2023-08-25,2023-08-26,7,2023-09-02,"express","dhl",31.48,"on-time",4
1045,2023-11-28,2023-11-29,9,2023-12-08,"express","fedex",28.99,"on-time",2
1046,2024-01-02,2024-01-03,8,2024-01-11,"express","fedex",8.28,"on-time",4
1047,2023-01-29,2023-01-30,3,2023-02-02,"same-day","usps",20.97,"on-time",3
1048,2024-09-06,2024-09-10,9,2024-09-19,"express","ups",41.21,"on-time",2
1049,2022-03-12,2022-03-16,4,2022-03-20,"same-day","ups",27.42,"delayed",2
1050,2023-01-11,2023-01-13,2,2023-01-15,"standard","fedex",15.05,"on-time",5
1051,2024-06-26,2024-06-29,7,2024-07-06,"standard","fedex",21.41,"on-time",5
1052,2022-06-29,2022-07-04,10,2022-07-14,"same-day","dhl",10.09,"on-time",4
1053,2021-08-30,2021-09-03,9,2021-09-12,"express","fedex",21.11,"on-time",4
1054,2024-01-17,2024-01-21,5,2024-01-26,"standard","usps",13.78,"on-time",5
1055,2024-12-13,2024-12-18,5,2024-12-23,"standard","dhl",26.37,"delayed",2
1056,2021-04-24,2021-04-26,3,2021-04-29,"standard","usps",38.4,"on-time",3
1057,2022-02-26,2022-02-27,4,2022-03-03,"standard","fedex",26.52,"delayed",2
1058,2021-05-03,2021-05-05,7,2021-05-12,"standard","usps",30.81,"delayed",3
1059,2022-03-25,2022-03-28,7,2022-04-04,"express","usps",38.44,"on-time",1
1060,2024-11-14,2024-11-19,6,2024-11-25,"express","dhl",5.92,"on-time",3
1061,2024-11-22,2024-11-23,3,2024-11-26,"standard","usps",10.95,"on-time",3
1062,2024-02-21,2024-02-24,8,2024-03-03,"express","dhl",5.66,"on-time",5
1063,2024-02-25,2024-02-26,4,2024-03-01,"same-day","usps",7.04,"on-time",1
1064,2021-01-13,2021-01-17,7,2021-01-24,"same-day","dhl",20.57,"on-time",1
1065,2023-07-26,2023-07-27,4,2023-07-31,"standard","ups",41.16,"on-time",3
1066,2021-06-30,2021-07-05,8,2021-07-13,"standard","usps",13.43,"delayed",3
1067,2021-12-08,2021-12-13,9,2021-12-22,"express","ups",13.67,"on-time",3
1068,2024-03-21,2024-03-22,10,2024-04-01,"same-day","usps",28.25,"delayed",4
1069,2021-08-09,2021-08-11,9,2021-08-20,"express","ups",46.06,"delayed",3
1070,2021-08-13,2021-08-15,2,2021-08-17,"express","usps",18.14,"on-time",2
1071,2022-03-14,2022-03-19,8,2022-03-27,"same-day","usps",8.81,"on-time",3
1072,2024-06-19,2024-06-21,3,2024-06-24,"same-day","fedex",19.95,"on-time",1
1073,2023-10-30,2023-10-31,7,2023-11-07,"express","ups",6.55,"returned",3
1074,2022-12-31,2023-01-03,6,2023-01-09,"express","dhl",32.58,"on-time",1
1075,2024-08-16,2024-08-18,9,2024-08-27,"express","dhl",16.13,"on-time",1
1076,2021-07-24,2021-07-25,9,2021-08-03,"standard","fedex",38.47,"delayed",5
1077,2021-04-07,2021-04-08,5,2021-04-13,"same-day","dhl",14.05,"on-time",3
1078,2021-07-04,2021-07-06,7,2021-07-13,"standard","fedex",20.35,"on-time",5
1079,2021-07-06,2021-07-07,9,2021-07-16,"same-day","dhl",9.25,"on-time",4
1080,2021-10-02,2021-10-06,4,2021-10-10,"standard","dhl",35.53,"delayed",2
1081,2022-12-13,2022-12-17,3,2022-12-20,"same-day","ups",9.76,"on-time",2
1082,2022-12-23,2022-12-25,2,2022-12-27,"same-day","dhl",6.54,"on-time",5
1083,2024-08-12,2024-08-17,2,2024-08-19,"standard","ups",17.43,"on-time",5
1084,2021-01-22,2021-01-27,8,2021-02-04,"express","usps",15.35,"on-time",2
1085,2022-05-21,2022-05-24,3,2022-05-27,"same-day","fedex",47.33,"on-time",4
1086,2023-09-27,2023-09-29,4,2023-10-03,"standard","dhl",32.47,"delayed",2
1087,2021-04-27,2021-04-29,6,2021-05-05,"express","ups",12.8,"on-time",2
1088,2023-12-02,2023-12-03,5,2023-12-08,"same-day","ups",20.91,"on-time",1
1089,2023-07-14,2023-07-18,10,2023-07-28,"standard","ups",34.51,"on-time",3
1090,2022-06-16,2022-06-18,4,2022-06-22,"express","ups",38.15,"delayed",4
1091,2024-10-26,2024-10-31,8,2024-11-08,"standard","dhl",12.89,"delayed",4
1092,2021-07-17,2021-07-22,5,2021-07-27,"express","dhl",10.62,"on-time",5
1093,2024-01-24,2024-01-27,9,2024-02-05,"express","usps",23.1,"on-time",3
1094,2021-06-14,2021-06-18,5,2021-06-23,"standard","usps",40.32,"on-time",2
1095,2023-12-12,2023-12-17,2,2023-12-19,"express","dhl",5.8,"on-time",3
1096,2024-02-23,2024-02-24,4,2024-02-28,"standard","fedex",40.23,"delayed",1
1097,2023-09-14,2023-09-18,5,2023-09-23,"express","usps",32.31,"on-time",5
1098,2021-12-01,2021-12-04,8,2021-12-12,"standard","fedex",30.7,"on-time",4
1099,2024-03-04,2024-03-09,7,2024-03-16,"same-day","fedex",42.65,"on-time",3
1100,2023-02-22,2023-02-24,4,2023-02-28,"express","usps",26.28,"on-time",1
1101,2021-05-23,2021-05-27,8,2021-06-04,"standard","ups",32.65,"returned",1
1102,2022-03-27,2022-04-01,10,2022-04-11,"express","fedex",41.61,"on-time",1
1103,2024-02-11,2024-02-13,10,2024-02-23,"same-day","fedex",40.68,"on-time",3
1104,2021-02-16,2021-02-21,4,2021-02-25,"express","fedex",23.53,"on-time",3
1105,2024-09-07,2024-09-10,7,2024-09-17,"same-day","dhl",30.15,"on-time",5
1106,2022-07-21,2022-07-22,8,2022-07-30,"standard","fedex",32.63,"on-time",3
1107,2023-08-03,2023-08-05,10,2023-08-15,"express","ups",17.38,"delayed",4
1108,2024-12-12,2024-12-14,10,2024-12-24,"express","dhl",10.84,"delayed",3
1109,2022-06-13,2022-06-15,9,2022-06-24,"standard","fedex",9.49,"delayed",4
1110,2021-07-01,2021-07-02,5,2021-07-07,"express","ups",16.05,"delayed",2
1111,2023-10-14,2023-10-17,5,2023-10-22,"standard","usps",38.53,"on-time",1
1112,2021-12-24,2021-12-25,7,2022-01-01,"same-day","dhl",34.26,"returned",3
1113,2024-05-10,2024-05-11,7,2024-05-18,"same-day","dhl",33.95,"on-time",4
1114,2024-12-13,2024-12-16,7,2024-12-23,"same-day","dhl",17.42,"on-time",4
1115,2024-01-16,2024-01-17,4,2024-01-21,"same-day","usps",26.27,"delayed",5
1116,2022-01-08,2022-01-09,2,2022-01-11,"standard","dhl",21.81,"on-time",3
1117,2024-04-11,2024-04-16,9,2024-04-25,"express","usps",30.94,"delayed",1
1118,2024-10-15,2024-10-20,3,2024-10-23,"same-day","dhl",43.74,"on-time",2
1119,2024-08-14,2024-08-18,6,2024-08-24,"standard","fedex",28.89,"on-time",3
1120,2024-05-25,2024-05-28,6,2024-06-03,"express","usps",30.55,"on-time",4
1121,2021-05-09,2021-05-14,9,2021-05-23,"same-day","ups",49.51,"on-time",1
1122,2024-02-27,2024-02-28,5,2024-03-04,"express","fedex",36.19,"on-time",3
1123,2023-07-10,2023-07-13,2,2023-07-15,"express","fedex",41.82,"on-time",2
1124,2024-04-09,2024-04-10,4,2024-04-14,"same-day","ups",43.01,"on-time",4
1125,2021-08-24,2021-08-25,5,2021-08-30,"same-day","usps",30.86,"on-time",3
1126,2023-03-25,2023-03-29,9,2023-04-07,"standard","ups",22.92,"delayed",5
1127,2024-05-06,2024-05-08,8,2024-05-16,"express","fedex",7.12,"on-time",4
1128,2022-07-30,2022-08-04,6,2022-08-10,"express","ups",21.91,"returned",5
1129,2023-03-06,2023-03-07,3,2023-03-10,"express","usps",27.05,"delayed",4
1130,2023-04-17,2023-04-18,4,2023-04-22,"express","ups",43.3,"on-time",3
1131,2021-05-27,2021-06-01,3,2021-06-04,"express","fedex",39.93,"on-time",5
1132,2021-01-07,2021-01-11,2,2021-01-13,"standard","dhl",7.02,"delayed",3
1133,2023-07-27,2023-08-01,3,2023-08-04,"same-day","fedex",24.05,"on-time",2
1134,2022-01-15,2022-01-18,7,2022-01-25,"same-day","dhl",34.1,"on-time",1
1135,2021-12-17,2021-12-21,3,2021-12-24,"express","usps",36.29,"on-time",4
1136,2022-03-21,2022-03-24,8,2022-04-01,"same-day","ups",29.39,"delayed",2
1137,2024-06-14,2024-06-17,3,2024-06-20,"same-day","ups",10.31,"on-time",2
1138,2021-06-17,2021-06-22,10,2021-07-02,"express","ups",47.45,"returned",3
1139,2024-01-17,2024-01-22,8,2024-01-30,"express","fedex",42.83,"on-time",2
1140,2024-06-15,2024-06-20,3,2024-06-23,"express","fedex",24.32,"on-time",5
1141,2024-07-07,2024-07-11,4,2024-07-15,"express","ups",8.6,"returned",3
1142,2023-12-06,2023-12-09,8,2023-12-17,"express","fedex",31.11,"on-time",1
1143,2023-06-03,2023-06-06,5,2023-06-11,"express","dhl",30.28,"on-time",2
1144,2023-07-15,2023-07-17,9,2023-07-26,"standard","fedex",9.55,"on-time",1
1145,2024-02-24,2024-02-25,2,2024-02-27,"same-day","dhl",36.99,"delayed",4
1146,2024-01-30,2024-02-02,7,2024-02-09,"express","ups",21.42,"delayed",2
1147,2022-12-08,2022-12-13,10,2022-12-23,"same-day","ups",11.38,"on-time",3
1148,2023-11-06,2023-11-10,4,2023-11-14,"express","usps",11.08,"delayed",5
1149,2021-08-10,2021-08-15,8,2021-08-23,"standard","dhl",46.15,"delayed",4
1150,2024-10-15,2024-10-18,6,2024-10-24,"same-day","dhl",37.59,"on-time",4
1151,2022-05-10,2022-05-11,5,2022-05-16,"same-day","dhl",48.84,"delayed",1
1152,2023-04-23,2023-04-26,10,2023-05-06,"same-day","fedex",28.97,"on-time",5
1153,2022-11-22,2022-11-27,9,2022-12-06,"standard","usps",40.69,"on-time",2
1154,2023-03-28,2023-04-02,5,2023-04-07,"same-day","usps",21.58,"returned",1
1155,2021-12-31,2022-01-02,3,2022-01-05,"express","usps",21.19,"delayed",3
1156,2023-10-09,2023-10-14,7,2023-10-21,"express","usps",32.13,"delayed",1
1157,2021-08-30,2021-09-03,8,2021-09-11,"express","fedex",37.97,"on-time",4
1158,2024-12-18,2024-12-20,7,2024-12-27,"same-day","fedex",46.11,"on-time",4
1159,2023-08-22,2023-08-23,2,2023-08-25,"same-day","usps",32.02,"delayed",5
1160,2024-07-22,2024-07-23,3,2024-07-26,"same-day","ups",16.43,"on-time",5
1161,2021-02-25,2021-02-28,7,2021-03-07,"express","usps",37.39,"delayed",3
1162,2023-08-21,2023-08-25,4,2023-08-29,"same-day","ups",36.5,"delayed",5
1163,2023-08-22,2023-08-27,10,2023-09-06,"same-day","ups",18.16,"on-time",1
1164,2023-06-01,2023-06-03,7,2023-06-10,"same-day","ups",28.08,"on-time",4
1165,2024-10-13,2024-10-17,8,2024-10-25,"express","fedex",29.7,"on-time",4
1166,2022-09-01,2022-09-03,5,2022-09-08,"standard","dhl",11.5,"on-time",4
1167,2022-08-16,2022-08-21,2,2022-08-23,"standard","ups",42.47,"on-time",3
1168,2024-07-02,2024-07-05,7,2024-07-12,"standard","dhl",7.43,"on-time",3
1169,2024-02-20,2024-02-21,3,2024-02-24,"express","ups",10.12,"on-time",5
1170,2021-01-21,2021-01-24,6,2021-01-30,"express","dhl",45.32,"on-time",1
1171,2024-11-17,2024-11-18,7,2024-11-25,"standard","usps",8.96,"on-time",2
